,Susceptible,Infected,Symptomatic,Infected travel,Sum travels,Recovered
0,563474,10,0,5,241010,0
2,563474,10,0,5,240511,0
4,563470,14,0,7,240877,0
6,563466,18,1,7,240833,-1
8,563465,19,4,10,240571,-4
10,563456,28,8,13,241027,-8
12,563446,38,10,16,240787,-10
14,563439,35,7,13,241409,3
16,563430,43,11,14,241138,0
18,563419,51,14,19,240995,0
20,563408,57,13,18,241303,6
22,563396,64,20,22,241509,4
24,563386,66,18,20,240659,14
26,563368,74,23,22,241534,19
28,563354,83,32,26,241138,15
30,563334,92,30,29,240787,28
32,563307,109,30,29,241145,38
34,563281,121,32,30,241391,50
36,563259,132,41,34,240824,52
38,563234,145,44,35,241560,61
40,563204,156,51,33,241017,73
42,563176,166,54,33,240943,88
44,563145,174,53,34,240921,112
46,563102,191,58,43,241630,133
48,563056,211,47,44,240850,170
50,563001,240,57,56,241743,186
52,562953,271,71,69,240730,189
54,562892,297,86,93,240632,209
56,562813,350,97,105,240659,224
58,562757,368,98,112,240487,261
60,562692,388,110,127,240694,294
62,562627,407,120,135,241275,330
64,562551,429,116,151,241081,388
66,562451,470,128,169,241247,435
68,562373,479,135,177,241288,497
70,562283,498,127,192,240834,576
72,562190,533,151,200,240769,610
74,562097,557,160,204,240989,670
76,561982,607,190,209,240765,705
78,561866,635,191,203,241033,792
80,561755,656,199,197,240669,874
82,561633,696,220,202,240525,935
84,561483,754,213,220,241355,1034
86,561338,811,232,231,241447,1103
88,561186,852,226,245,241026,1220
90,561022,900,237,258,241058,1325
92,560831,975,279,283,240431,1399
94,560644,1051,310,300,240712,1479
96,560430,1121,320,310,240480,1613
98,560189,1222,341,348,241077,1732
